,Value
2017-01-01,2562.19
2017-01-02,2578.36
2017-01-03,2572.06
2017-01-04,2551.8
2017-01-05,2570.44
2017-01-06,2573.44
2017-01-07,2565.32
2017-01-08,2566.32
2017-01-09,2578.74
2017-01-10,2568.79
2017-01-11,2561.51
2017-01-12,2562.24
2017-01-13,2573.0
2017-01-14,2561.95
2017-01-15,2548.97
2017-01-16,2529.5
2017-01-17,2475.98
2017-01-18,2497.69
2017-01-19,2505.56
2017-01-20,2498.35
2017-01-21,2468.32
2017-01-22,2488.82
2017-01-23,2459.13
2017-01-24,2464.51
2017-01-25,2469.51
2017-01-26,2472.25
2017-01-27,2466.84
2017-01-28,2491.5
2017-01-29,2504.16
2017-01-30,2520.26
2017-01-31,2520.52
2017-02-01,2527.73
2017-02-02,2541.41
2017-02-03,2534.63
2017-02-04,2532.96
2017-02-05,2529.14
2017-02-06,2545.65
2017-02-07,2544.61
2017-02-08,2542.75
2017-02-09,2567.96
2017-02-10,2556.25
2017-02-11,2562.12
2017-02-12,2534.44
2017-02-13,2559.42
2017-02-14,2562.12
2017-02-15,2554.42
2017-02-16,2563.59
2017-02-17,2556.64
2017-02-18,2548.84
2017-02-19,2534.49
2017-02-20,2538.34
2017-02-21,2528.73
2017-02-22,2526.18
2017-02-23,2532.55
2017-02-24,2542.74
2017-02-25,2549.71
2017-02-26,2568.77
2017-02-27,2568.7
2017-02-28,2588.04
2017-03-01,2614.5
2017-03-02,2630.24
2017-03-03,2626.43
2017-03-04,2621.2
2017-03-05,2625.46
2017-03-06,2641.5
2017-03-07,2624.18
2017-03-08,2643.42
2017-03-09,2663.1
2017-03-10,2664.96
2017-03-11,2659.86
2017-03-12,2655.49
2017-03-13,2654.34
2017-03-14,2685.29
2017-03-15,2685.29
2017-03-16,2704.25
2017-03-17,2705.21
2017-03-18,2702.6
2017-03-19,2685.23
2017-03-20,2683.52
2017-03-21,2692.69
2017-03-22,2700.83
2017-03-23,2718.73
2017-03-24,2705.06
2017-03-25,2717.5
2017-03-26,2727.56
2017-03-27,2733.67
2017-03-28,2721.74
2017-03-29,2678.89
2017-03-30,2681.94
2017-03-31,2690.79
2017-04-01,2703.33
2017-04-02,2675.5
2017-04-03,2664.72
2017-04-04,2671.4
2017-04-05,2670.19
2017-04-06,2678.73
2017-04-07,2716.16
2017-04-08,2735.28
2017-04-09,2724.25
2017-04-10,2732.29
2017-04-11,2730.44
2017-04-12,2764.0
2017-04-13,2770.61
2017-04-14,2784.39
2017-04-15,2800.6
2017-04-16,2768.68
2017-04-17,2781.54
2017-04-18,2766.08
2017-04-19,2765.29
2017-04-20,2769.47
2017-04-21,2800.52
2017-04-22,2808.62
2017-04-23,2793.86
2017-04-24,2829.68
2017-04-25,2848.84
2017-04-26,2853.46
2017-04-27,2900.76
2017-04-28,2880.89
2017-04-29,2894.43
2017-04-30,2832.53
2017-05-01,2870.3
2017-05-02,2890.95
2017-05-03,2836.36
2017-05-04,2846.94
2017-05-05,2815.77
2017-05-06,2841.16
2017-05-07,2808.5
2017-05-08,2814.23
2017-05-09,2824.83
2017-05-10,2835.54
2017-05-11,2844.09
2017-05-12,2844.09
2017-05-13,2844.09
2017-05-14,2844.09
2017-05-15,2859.22
2017-05-16,2880.07
2017-05-17,2880.07
2017-05-18,2880.07
2017-05-19,2820.81
2017-05-20,2863.26
2017-05-21,2890.2
2017-05-22,2876.34
2017-05-23,2904.08
2017-05-24,2936.69
2017-05-25,2915.81
2017-05-26,2956.78
2017-05-27,2978.84
2017-05-28,2976.56
2017-05-29,2996.12
2017-05-30,3006.87
2017-05-31,2999.19
2017-06-01,3000.66
2017-06-02,3026.63
2017-06-03,3037.28
2017-06-04,2982.63
2017-06-05,2992.55
2017-06-06,3028.27
2017-06-07,2997.95
2017-06-08,3018.58
2017-06-09,3037.7
2017-06-10,3064.7
2017-06-11,3067.48
2017-06-12,3114.73
2017-06-13,3124.78
2017-06-14,3161.36
2017-06-15,3185.72
2017-06-16,3191.45
2017-06-17,3211.01
2017-06-18,3256.86
2017-06-19,3249.17
2017-06-20,3260.3
2017-06-21,3230.83
2017-06-22,3209.04
2017-06-23,3197.09
2017-06-24,3203.79
2017-06-25,3180.63
2017-06-26,3233.34
2017-06-27,3245.02
2017-06-28,3272.58
2017-06-29,3261.04
2017-06-30,3258.74
2017-07-01,3345.09
2017-07-02,3375.45
2017-07-03,3396.55
2017-07-04,3419.51
2017-07-05,3426.77
2017-07-06,3430.95
2017-07-07,3382.4
2017-07-08,3367.82
2017-07-09,3404.29
2017-07-10,3337.11
2017-07-11,3289.59
2017-07-12,3305.72
2017-07-13,3247.03
2017-07-14,3288.52
2017-07-15,3302.57
2017-07-16,3374.93
2017-07-17,3439.22
2017-07-18,3407.83
2017-07-19,3407.83
